LJ031-0001|Report of the President's Commission on the Assassination of President Kennedy.|Report of the President's Commission on the Assassination of President Kennedy.
LJ035-0016|He saw pigeons flutter upward. He was not certain, quote, but I am pretty sure they came from the building right on the northwest corner, end quote.|He saw pigeons flutter upward. He was not certain, quote, but I am pretty sure they came from the building right on the northwest corner, end quote.
LJ035-0017|He heard two more shots spaced, quote, pretty well even to me.|He heard two more shots spaced, quote, pretty well even to me.
LJ035-0018|end quote, After the third shot, he, quote, revved that motorcycle up, end quote,|end quote, After the third shot, he, quote, revved that motorcycle up, end quote,
LJ035-0019|drove to the northwest corner of Elm and Houston, and parked approximately 10 feet from the traffic signal.|drove to the northwest corner of Elm and Houston, and parked approximately ten feet from the traffic signal.
LJ035-0020|As he was parking he noted that people were, quote, falling, and they were rolling around down there grabbing their children, end quote, and rushing about.|As he was parking he noted that people were, quote, falling, and they were rolling around down there grabbing their children, end quote, and rushing about.
LJ035-0021|A woman screamed, quote, Oh, they have shot that man, they have shot that man, end quote.|A woman screamed, quote, Oh, they have shot that man, they have shot that man, end quote.
LJ035-0022|Baker, quote, had it in mind that the shots came from the top of this building here, end quote, so he ran straight to the entrance of the Depository Building.|Baker, quote, had it in mind that the shots came from the top of this building here, end quote, so he ran straight to the entrance of the Depository Building.
LJ035-0023|Baker testified that he entered the lobby of the building and, quote, spoke out and asked where the stairs or elevator was|Baker testified that he entered the lobby of the building and, quote, spoke out and asked where the stairs or elevator was
LJ035-0024|and this man, Mr. Truly, spoke up and says, it seems to me like he says,|and this man, Mr. Truly, spoke up and says, it seems to me like he says,
LJ035-0025|I am a building manager. Follow me, officer, and I will show you, end quote.|I am a building manager. Follow me, officer, and I will show you, end quote.
LJ035-0026|Baker and building superintendent Roy Truly went through a second set of doors and stopped at a swinging door where Baker bumped into Truly's back.|Baker and building superintendent Roy Truly went through a second set of doors and stopped at a swinging door where Baker bumped into Truly's back.
LJ035-0027|They went through the swinging door and continued at, quote, a good trot, end quote,|They went through the swinging door and continued at, quote, a good trot, end quote,
LJ035-0028|to the northwest corner of the floor where Truly hoped to find one of the two freight elevators.|to the northwest corner of the floor where Truly hoped to find one of the two freight elevators.
LJ035-0029|Neither elevator was there.|Neither elevator was there.
LJ035-0030|Truly pushed the button for the west elevator which operates automatically if the gate is closed.|Truly pushed the button for the west elevator which operates automatically if the gate is closed.
LJ035-0031|He shouted twice, quote, Turn loose the elevator, end quote,|He shouted twice, quote, Turn loose the elevator, end quote,
LJ035-0032|When the elevator failed to come, Baker said, quote, let's take the stairs, end quote, and he followed Truly up the stairway, which is to the west of the elevator.|When the elevator failed to come, Baker said, quote, let's take the stairs, end quote, and he followed Truly up the stairway, which is to the west of the elevator.
LJ035-0033|The stairway is located in the northwest corner of the Depository Building.|The stairway is located in the northwest corner of the Depository Building.
LJ035-0034|The stairs from one floor to the next are "L-shaped," with both legs of the "L" approximately the same length.|The stairs from one floor to the next are "L-shaped," with both legs of the "L" approximately the same length.
LJ035-0035|Because the stairway itself is enclosed, neither Baker nor Truly could see anything on the second-floor hallway until they reached the landing at the top of the stairs.|Because the stairway itself is enclosed, neither Baker nor Truly could see anything on the second-floor hallway until they reached the landing at the top of the stairs.
LJ035-0036|On the second-floor landing there is a small open area with a door at the east end.|On the second-floor landing there is a small open area with a door at the east end.
LJ035-0037|This door leads into a small vestibule, and another door leads from the vestibule into the second-floor lunchroom.|This door leads into a small vestibule, and another door leads from the vestibule into the second-floor lunchroom.
LJ035-0038|The lunchroom door is usually open, but the first door is kept shut by a closing mechanism on the door.|The lunchroom door is usually open, but the first door is kept shut by a closing mechanism on the door.
LJ035-0039|This vestibule door is solid except for a small glass window in the upper part of the door.|This vestibule door is solid except for a small glass window in the upper part of the door.
LJ035-0040|As Baker reached the second floor, he was about 20 feet from the vestibule door. He intended to continue around to his left toward the stairway going up|As Baker reached the second floor, he was about twenty feet from the vestibule door. He intended to continue around to his left toward the stairway going up
LJ035-0041|but through the window in the door he caught a fleeting glimpse of a man walking in the vestibule toward the lunchroom.|but through the window in the door he caught a fleeting glimpse of a man walking in the vestibule toward the lunchroom.
LJ035-0042|Since the vestibule door is only a few feet from the lunchroom door, the man must have entered the vestibule only a second or two before Baker arrived at the top of the stairwell.|Since the vestibule door is only a few feet from the lunchroom door, the man must have entered the vestibule only a second or two before Baker arrived at the top of the stairwell.
LJ035-0043|Yet he must have entered the vestibule door before Truly reached the top of the stairwell, since Truly did not see him.|Yet he must have entered the vestibule door before Truly reached the top of the stairwell, since Truly did not see him.
LJ035-0044|If the man had passed from the vestibule into the lunchroom, Baker could not have seen him.|If the man had passed from the vestibule into the lunchroom, Baker could not have seen him.
LJ035-0045|Baker said, quote, He [Truly] had already started around the bend to come to the next elevator going up,|Baker said, quote, He [Truly] had already started around the bend to come to the next elevator going up,
LJ035-0046|I was coming out this one on the second floor, and I don't know, I was kind of sweeping this area as I come up, I was looking from right to left|I was coming out this one on the second floor, and I don't know, I was kind of sweeping this area as I come up, I was looking from right to left
LJ035-0047|and as I got to this door here I caught a glimpse of this man, just, you know, a sudden glimpse. And it looked to me like he was going away from me.|and as I got to this door here I caught a glimpse of this man, just, you know, a sudden glimpse. And it looked to me like he was going away from me.
LJ035-0048|I can't say whether he had gone on through that door [the lunchroom door] or not.|I can't say whether he had gone on through that door [the lunchroom door] or not.
LJ035-0049|All I did was catch a glance at him, and evidently he was -- this door might have been, you know, closing and almost shut at that time, end quote.|All I did was catch a glance at him, and evidently he was -- this door might have been, you know, closing and almost shut at that time, end quote.
LJ035-0050|With his revolver drawn, Baker opened the vestibule door and ran into the vestibule.|With his revolver drawn, Baker opened the vestibule door and ran into the vestibule.
LJ035-0051|He saw a man walking away from him in the lunchroom.|He saw a man walking away from him in the lunchroom.
LJ035-0052|Baker stopped at the door of the lunchroom and commanded, quote, Come here, end quote.|Baker stopped at the door of the lunchroom and commanded, quote, Come here, end quote.
LJ035-0053|The man turned and walked back toward Baker.|The man turned and walked back toward Baker.
LJ035-0054|He had been proceeding toward the rear of the lunchroom.|He had been proceeding toward the rear of the lunchroom.
LJ035-0055|Along a side wall of the lunchroom was a soft drink rending machine, but at that time the man had nothing in his hands.|Along a side wall of the lunchroom was a soft drink rending machine, but at that time the man had nothing in his hands.
LJ035-0056|Meanwhile, Truly had run up several steps toward the third floor.|Meanwhile, Truly had run up several steps toward the third floor.
LJ035-0057|Missing Baker, he came back to find the officer in the doorway to the lunchroom facing Lee Harvey Oswald.|Missing Baker, he came back to find the officer in the doorway to the lunchroom facing Lee Harvey Oswald.
LJ035-0058|Baker turned to Truly and said, quote, Do you know this man, does he work here? end quote.|Baker turned to Truly and said, quote, Do you know this man, does he work here? end quote.
LJ035-0059|Truly replied, "Yes."|Truly replied, "Yes."
LJ035-0060|Baker stated later that the man did not seem to be out of breath; he seemed calm. Quote, He never did say a word or nothing.|Baker stated later that the man did not seem to be out of breath; he seemed calm. Quote, He never did say a word or nothing.
LJ035-0061|In fact, he didn't change his expression one bit, end quote.|In fact, he didn't change his expression one bit, end quote.
LJ035-0062|Truly said of Oswald: quote, He didn't seem to be excited or overly afraid or anything. He might have been a bit startled, like I might have been if somebody confronted me.|Truly said of Oswald: quote, He didn't seem to be excited or overly afraid or anything. He might have been a bit startled, like I might have been if somebody confronted me.
LJ035-0063|But I cannot recall any change in expression of any kind on his face, end quote.|But I cannot recall any change in expression of any kind on his face, end quote.
LJ035-0064|Truly thought that the officer's gun at that time appeared to be almost touching the middle portion of Oswald's body.|Truly thought that the officer's gun at that time appeared to be almost touching the middle portion of Oswald's body.
LJ035-0065|Truly also noted at this time that Oswald's hands were empty.|Truly also noted at this time that Oswald's hands were empty.
LJ035-0066|In an effort to determine whether Oswald could have descended to the lunchroom|In an effort to determine whether Oswald could have descended to the lunchroom
LJ035-0067|from the sixth floor by the time Baker and Truly arrived, Commission counsel asked Baker and Truly to repeat their movements from the time of the shot|from the sixth floor by the time Baker and Truly arrived, Commission counsel asked Baker and Truly to repeat their movements from the time of the shot
LJ035-0068|until Baker came upon Oswald in the lunchroom.|until Baker came upon Oswald in the lunchroom.
LJ035-0069|Baker placed himself on a motorcycle about 200 feet from the corner of Elm and Houston Streets where he said he heard the shots.|Baker placed himself on a motorcycle about two hundred feet from the corner of Elm and Houston Streets where he said he heard the shots.
LJ035-0070|Truly stood in front of the building.|Truly stood in front of the building.
LJ035-0071|At a given signal, they reenacted the event. Baker's movements were timed with a stopwatch.|At a given signal, they reenacted the event. Baker's movements were timed with a stopwatch.
LJ035-0072|On the first test, the elapsed time between the simulated first shot and Baker's arrival on the second-floor stair landing|On the first test, the elapsed time between the simulated first shot and Baker's arrival on the second-floor stair landing
LJ035-0073|was 1 minute and 30 seconds.|was one minute and thirty seconds.
LJ035-0074|The second test run required 1 minute and 15 seconds.|The second test run required one minute and fifteen seconds.
LJ035-0075|A test was also conducted to determine the time required to walk from the southeast corner of the sixth floor to the second-floor lunchroom by stairway.|A test was also conducted to determine the time required to walk from the southeast corner of the sixth floor to the second-floor lunchroom by stairway.
LJ035-0076|Special Agent John Howlett of the Secret Service carried a rifle from the southeast corner of the sixth floor along the east aisle to the northeast corner.|Special Agent John Howlett of the Secret Service carried a rifle from the southeast corner of the sixth floor along the east aisle to the northeast corner.
LJ035-0077|He placed the rifle on the floor near the site where Oswald's rifle was actually found after the shooting.|He placed the rifle on the floor near the site where Oswald's rifle was actually found after the shooting.
LJ035-0078|Then Howlett walked down the stairway to the second-floor landing and entered the lunchroom.|Then Howlett walked down the stairway to the second-floor landing and entered the lunchroom.
LJ035-0079|The first test, run at normal walking pace, required 1 minute, 18 seconds;|The first test, run at normal walking pace, required one minute, eighteen seconds;
LJ035-0080|the second test, at a "fast walk" took 1 minute, 14 seconds.|the second test, at a "fast walk" took one minute, fourteen seconds.
LJ035-0081|The second test followed immediately after the first.|The second test followed immediately after the first.
LJ035-0082|The only interval was the time necessary to ride in the elevator from the second to the sixth floor and walk back to the southeast corner.|The only interval was the time necessary to ride in the elevator from the second to the sixth floor and walk back to the southeast corner.
LJ035-0083|Howlett was not short winded at the end of either test run.|Howlett was not short winded at the end of either test run.
LJ035-0084|The minimum time required by Baker to park his motorcycle and reach the second-floor lunchroom was within 3 seconds of the time needed to walk|The minimum time required by Baker to park his motorcycle and reach the second-floor lunchroom was within three seconds of the time needed to walk
LJ035-0085|from the southeast corner of the sixth floor down the stairway to the lunchroom.|from the southeast corner of the sixth floor down the stairway to the lunchroom.
LJ035-0086|The time actually required for Baker and Truly to reach the second floor on November 22 was probably longer than in the test runs. For example,|The time actually required for Baker and Truly to reach the second floor on November twenty-two was probably longer than in the test runs. For example,
LJ035-0087|Baker required 15 seconds after the simulated shot to ride his motorcycle 180 to 200 feet,|Baker required fifteen seconds after the simulated shot to ride his motorcycle one hundred eighty to two hundred feet,
LJ035-0088|park it, and run 45 feet to the building.|park it, and run forty-five feet to the building.
LJ035-0089|No allowance was made for the special conditions which existed on the day of the assassination|No allowance was made for the special conditions which existed on the day of the assassination
LJ035-0090|possible delayed reaction to the shot, jostling with the crowd of people on the steps and scanning the area along Elm Street and the parkway.|possible delayed reaction to the shot, jostling with the crowd of people on the steps and scanning the area along Elm Street and the parkway.
LJ035-0091|Baker said, quote, We simulated the shots and by the time we got there, we did everything that I did that day,|Baker said, quote, We simulated the shots and by the time we got there, we did everything that I did that day,
LJ035-0092|and this would be the minimum, because I am sure that I, you know, it took me a little longer, end quote,|and this would be the minimum, because I am sure that I, you know, it took me a little longer, end quote,
LJ035-0093|On the basis of this time test, therefore,|On the basis of this time test, therefore,
LJ035-0094|the Commission concluded that Oswald could have fired the shots and still have been present in the second-floor lunchroom when seen by Baker and Truly.|the Commission concluded that Oswald could have fired the shots and still have been present in the second-floor lunchroom when seen by Baker and Truly.
LJ035-0095|That Oswald descended by stairway from the sixth floor to the second-floor lunchroom|That Oswald descended by stairway from the sixth floor to the second-floor lunchroom
LJ035-0096|is consistent with the movements of the two elevators, which would have provided the other possible means of descent.|is consistent with the movements of the two elevators, which would have provided the other possible means of descent.
LJ035-0097|When Truly, accompanied by Baker, ran to the rear of the first floor,|When Truly, accompanied by Baker, ran to the rear of the first floor,
LJ035-0098|he was certain that both elevators, which occupy the same shaft, were on the fifth floor.|he was certain that both elevators, which occupy the same shaft, were on the fifth floor.
LJ035-0099|Baker, not realizing that there were two elevators, thought that only one elevator was in the shaft and that it was two or three floors above the second floor.|Baker, not realizing that there were two elevators, thought that only one elevator was in the shaft and that it was two or three floors above the second floor.
LJ035-0100|In the few seconds which elapsed while Baker and Truly ran from the first to the second floor,|In the few seconds which elapsed while Baker and Truly ran from the first to the second floor,
LJ035-0101|neither of these slow elevators could have descended from the fifth to the second floor. Furthermore, no elevator was at the second floor when they arrived there.|neither of these slow elevators could have descended from the fifth to the second floor. Furthermore, no elevator was at the second floor when they arrived there.
LJ035-0102|Truly and Baker continued up the stairs after the encounter with Oswald in the lunchroom.|Truly and Baker continued up the stairs after the encounter with Oswald in the lunchroom.
LJ035-0103|There was no elevator on the third or fourth floor.|There was no elevator on the third or fourth floor.
LJ035-0104|The east elevator was on the fifth floor when they arrived; the west elevator was not.|The east elevator was on the fifth floor when they arrived; the west elevator was not.
LJ035-0105|They took the east elevator to the seventh floor and ran up a stairway to the roof where they searched for several minutes.|They took the east elevator to the seventh floor and ran up a stairway to the roof where they searched for several minutes.
LJ035-0106|Jack Dougherty, an employee working on the fifth floor,|Jack Dougherty, an employee working on the fifth floor,
LJ035-0107|testified that he took the west elevator to the first floor after hearing a noise which sounded like a backfire.|testified that he took the west elevator to the first floor after hearing a noise which sounded like a backfire.
LJ035-0108|Eddie Piper, the janitor, told Dougherty that the President had been shot,|Eddie Piper, the janitor, told Dougherty that the President had been shot,
LJ035-0109|but in his testimony Piper did not mention either seeing or talking with Dougherty during these moments of excitement.|but in his testimony Piper did not mention either seeing or talking with Dougherty during these moments of excitement.
LJ035-0110|Both Dougherty and Piper were confused witnesses. They had no exact memory of the events of that afternoon.|Both Dougherty and Piper were confused witnesses. They had no exact memory of the events of that afternoon.
LJ035-0111|Truly was probably correct in stating that the west elevator was on the fifth floor when he looked up the elevator shaft from the first floor.|Truly was probably correct in stating that the west elevator was on the fifth floor when he looked up the elevator shaft from the first floor.
LJ035-0112|The west elevator was not on the fifth floor when Baker and Truly reached that floor,|The west elevator was not on the fifth floor when Baker and Truly reached that floor,
LJ035-0113|probably because Jack Dougherty took it to the first floor while Baker and Truly were running up the stairs or in the lunchroom with Oswald.|probably because Jack Dougherty took it to the first floor while Baker and Truly were running up the stairs or in the lunchroom with Oswald.
LJ035-0114|Neither elevator could have been used by Oswald as a means of descent.|Neither elevator could have been used by Oswald as a means of descent.
LJ035-0115|Oswald's use of the stairway is consistent with the testimony of other employees in the building.|Oswald's use of the stairway is consistent with the testimony of other employees in the building.
LJ035-0116|Three employees -- James Jarman, Jr.,|Three employees -- James Jarman, Jr.,
LJ035-0117|Harold Norman, and Bonnie Ray Williams -- were watching the parade from the fifth floor, directly below the window from which the shots were fired.|Harold Norman, and Bonnie Ray Williams -- were watching the parade from the fifth floor, directly below the window from which the shots were fired.
LJ035-0118|They rushed to the west windows after the shots were fired and remained there|They rushed to the west windows after the shots were fired and remained there
LJ035-0119|until after they saw Patrolman Baker's white helmet on the fifth floor moving toward the elevator.|until after they saw Patrolman Baker's white helmet on the fifth floor moving toward the elevator.
LJ035-0120|While they were at the west windows their view of the stairwell was completely blocked by shelves and boxes.|While they were at the west windows their view of the stairwell was completely blocked by shelves and boxes.
LJ035-0121|This is the period during which Oswald would have descended the stairs. In all likelihood|This is the period during which Oswald would have descended the stairs. In all likelihood
LJ035-0122|Dougherty took the elevator down from the fifth floor after Jarman, Norman, and Williams ran to the west windows and were deciding what to do.|Dougherty took the elevator down from the fifth floor after Jarman, Norman, and Williams ran to the west windows and were deciding what to do.
LJ035-0123|None of these three men saw Dougherty, probably because of the anxiety of the moment and because of the books which may have blocked the view.|None of these three men saw Dougherty, probably because of the anxiety of the moment and because of the books which may have blocked the view.
LJ035-0124|Neither Jarman, Norman, Williams, or Dougherty saw Oswald.|Neither Jarman, Norman, Williams, or Dougherty saw Oswald.
LJ035-0126|claimed that within about 1 minute following the shots she ran from a window on the south side of the fourth floor,|claimed that within about one minute following the shots she ran from a window on the south side of the fourth floor,
LJ035-0127|down the rear stairs to the first floor, where she encountered two Depository employees -- William Shelley and Billy Lovelady.|down the rear stairs to the first floor, where she encountered two Depository employees -- William Shelley and Billy Lovelady.
LJ035-0128|If her estimate of time is correct, she reached the bottom of the stairs before Truly and Baker started up,|If her estimate of time is correct, she reached the bottom of the stairs before Truly and Baker started up,
LJ035-0129|and she must have run down the stairs ahead of Oswald and would probably have seen or heard him.|and she must have run down the stairs ahead of Oswald and would probably have seen or heard him.
LJ035-0130|Actually she noticed no one on the back stairs. If she descended from the fourth to the first floor as fast as she claimed in her testimony,|Actually she noticed no one on the back stairs. If she descended from the fourth to the first floor as fast as she claimed in her testimony,
LJ035-0131|she would have seen Baker or Truly on the first floor or on the stairs, unless they were already in the second-floor lunchroom talking to Oswald.|she would have seen Baker or Truly on the first floor or on the stairs, unless they were already in the second-floor lunchroom talking to Oswald.
LJ035-0132|When she reached the first floor, she actually saw Shelley and Lovelady slightly east of the east elevator.|When she reached the first floor, she actually saw Shelley and Lovelady slightly east of the east elevator.
LJ035-0133|Shelley and Lovelady, however, have testified|Shelley and Lovelady, however, have testified
LJ035-0134|that they were watching the parade from the top step of the building entrance when Gloria Calverly, who works in the Depository Building,|that they were watching the parade from the top step of the building entrance when Gloria Calverly, who works in the Depository Building,
LJ035-0135|ran up and said that the President had been shot.|ran up and said that the President had been shot.
LJ035-0136|Lovelady and Shelley moved out into the street.|Lovelady and Shelley moved out into the street.
LJ035-0137|About this time Shelley saw Truly and Patrolman Baker go into the building|About this time Shelley saw Truly and Patrolman Baker go into the building
LJ035-0138|Shelley and Lovelady, at a fast walk or trot, turned west into the railroad yards and then to the west side of the Depository Building.|Shelley and Lovelady, at a fast walk or trot, turned west into the railroad yards and then to the west side of the Depository Building.
LJ035-0139|They reentered the building by the rear door several minutes after Baker and Truly rushed through the front entrance.|They reentered the building by the rear door several minutes after Baker and Truly rushed through the front entrance.
LJ035-0140|On entering, Lovelady saw a girl on the first floor who he believes was Victoria Adams.|On entering, Lovelady saw a girl on the first floor who he believes was Victoria Adams.
LJ035-0141|If Miss Adams accurately recalled meeting Shelley and Lovelady when she reached the bottom of the stairs,|If Miss Adams accurately recalled meeting Shelley and Lovelady when she reached the bottom of the stairs,
LJ035-0142|then her estimate of the time when she descended from the fourth floor is incorrect,|then her estimate of the time when she descended from the fourth floor is incorrect,
LJ035-0143|and she actually came down the stairs several minutes after Oswald and after Truly and Baker as well.|and she actually came down the stairs several minutes after Oswald and after Truly and Baker as well.
LJ035-0144|Oswald's departure from building.|Oswald's departure from building.
LJ035-0145|Within a minute after Baker and Truly left Oswald in the lunchroom, Mrs. R. A. Reid, clerical supervisor for the Texas School Book Depository,|Within a minute after Baker and Truly left Oswald in the lunchroom, Mrs. R. A. Reid, clerical supervisor for the Texas School Book Depository,
LJ035-0146|saw him walk through the clerical office on the second floor toward the door leading to the front stairway.|saw him walk through the clerical office on the second floor toward the door leading to the front stairway.
LJ035-0147|Mrs. Reid had watched the parade from the sidewalk in front of the building with Truly and Mr. O. V. Campbell, vice president of the Depository.|Mrs. Reid had watched the parade from the sidewalk in front of the building with Truly and Mr. O. V. Campbell, vice president of the Depository.
LJ035-0148|She testified that she heard three shots which she thought came from the building.|She testified that she heard three shots which she thought came from the building.
LJ035-0149|She ran inside and up the front stairs into the large open office reserved for clerical employees.|She ran inside and up the front stairs into the large open office reserved for clerical employees.
LJ035-0150|As she approached her desk, she saw Oswald.|As she approached her desk, she saw Oswald.
LJ035-0151|He was walking into the office from the back hallway,|He was walking into the office from the back hallway,
LJ035-0152|carrying a full bottle of Coca-Cola in his hand, presumably purchased after the encounter with Baker and Truly.|carrying a full bottle of Coca-Cola in his hand, presumably purchased after the encounter with Baker and Truly.
LJ035-0153|As Oswald passed Mrs. Reid she said, quote, Oh, the President has been shot, but maybe they didn't hit him, end quote.|As Oswald passed Mrs. Reid she said, quote, Oh, the President has been shot, but maybe they didn't hit him, end quote.
LJ035-0154|Oswald mumbled something and walked by. She paid no more attention to him.|Oswald mumbled something and walked by. She paid no more attention to him.
LJ035-0155|The only exit from the office in the direction Oswald was moving was through the door to the front stairway.|The only exit from the office in the direction Oswald was moving was through the door to the front stairway.
LJ035-0156|Mrs. Reid testified that when she saw Oswald, he was wearing a T-shirt and no jacket.|Mrs. Reid testified that when she saw Oswald, he was wearing a T-shirt and no jacket.
LJ035-0157|When he left home that morning, Marina Oswald, who was still in bed, suggested that he wear a jacket.|When he left home that morning, Marina Oswald, who was still in bed, suggested that he wear a jacket.
LJ035-0158|A blue jacket, later identified by Marina Oswald as her husband's, was subsequently found in the building, apparently left behind by Oswald.|A blue jacket, later identified by Marina Oswald as her husband's, was subsequently found in the building, apparently left behind by Oswald.
LJ035-0159|Mrs. Reid believes that she returned to her desk from the street about 2 minutes after the shooting.|Mrs. Reid believes that she returned to her desk from the street about two minutes after the shooting.
LJ035-0160|Reconstructing her movements, Mrs. Reid ran the distance three times and was timed in 2 minutes by stopwatch.|Reconstructing her movements, Mrs. Reid ran the distance three times and was timed in two minutes by stopwatch.
LJ035-0161|The reconstruction was the minimum time. Accordingly, she probably met Oswald at about 12:32,|The reconstruction was the minimum time. Accordingly, she probably met Oswald at about twelve:thirty-two,
LJ035-0163|After leaving Mrs. Reid in the front office, Oswald could have gone down the stairs and out the front door by 12:33 p.m.|After leaving Mrs. Reid in the front office, Oswald could have gone down the stairs and out the front door by twelve:thirty-three p.m.
LJ035-0164|3 minutes after the shooting.|three minutes after the shooting.
LJ035-0165|At that time the building had not yet been sealed off by the police.|At that time the building had not yet been sealed off by the police.
LJ035-0166|While it was difficult to determine exactly when the police sealed off the building,|While it was difficult to determine exactly when the police sealed off the building,
LJ035-0167|the earliest estimates would still have permitted Oswald to leave the building by 12:33.|the earliest estimates would still have permitted Oswald to leave the building by twelve:thirty-three.
LJ035-0168|One of the police officers assigned to the corner of Elm and Houston Streets for the Presidential motorcade, W. E. Barnett,|One of the police officers assigned to the corner of Elm and Houston Streets for the Presidential motorcade, W. E. Barnett,
LJ035-0169|testified that immediately after the shots he went to the rear of the building to check the fire escape.|testified that immediately after the shots he went to the rear of the building to check the fire escape.
LJ035-0170|He then returned to the corner of Elm and Houston where he met a sergeant who instructed him to find out the name of the building.|He then returned to the corner of Elm and Houston where he met a sergeant who instructed him to find out the name of the building.
LJ035-0171|Barnett ran to the building, noted its name, and then returned to the corner.|Barnett ran to the building, noted its name, and then returned to the corner.
LJ035-0172|There he was met by a construction worker -- in all likelihood Howard Brennan, who was wearing his work helmet.|There he was met by a construction worker -- in all likelihood Howard Brennan, who was wearing his work helmet.
LJ035-0173|This worker told Barnett that the shots had been fired from a window in the Depository Building,|This worker told Barnett that the shots had been fired from a window in the Depository Building,
LJ035-0174|where upon Barnett posted himself at the front door to make certain that no one left the building.|where upon Barnett posted himself at the front door to make certain that no one left the building.
LJ035-0175|The sergeant did the same thing at the rear of the building.|The sergeant did the same thing at the rear of the building.
LJ035-0176|Barnett estimated that approximately 3 minutes elapsed between the time he heard the last of the shots and the time he started guarding the front door.|Barnett estimated that approximately three minutes elapsed between the time he heard the last of the shots and the time he started guarding the front door.
LJ035-0177|According to Barnett, quote, there were people going in and out, end quote, during this period.|According to Barnett, quote, there were people going in and out, end quote, during this period.
LJ035-0178|Sgt. D. V. Harkness of the Dallas police|Sgt. D. V. Harkness of the Dallas police
LJ035-0179|said that to his knowledge the building was not sealed off at 12:36 p.m. when he called in on police radio|said that to his knowledge the building was not sealed off at twelve:thirty-six p.m. when he called in on police radio
LJ035-0180|that a witness (Amos Euins) had seen shots fired from a window of the building.|that a witness (Amos Euins) had seen shots fired from a window of the building.
LJ035-0181|At that time, Inspector Herbert V. Sawyer's car was parked in front of the building.|At that time, Inspector Herbert V. Sawyer's car was parked in front of the building.
LJ035-0182|Harkness did not know whether or not two officers with Sawyer were guarding the doors.|Harkness did not know whether or not two officers with Sawyer were guarding the doors.
LJ035-0183|At 12:34 p.m. Sawyer heard a call over the police radio that the shots had come from the Depository Building.|At twelve:thirty-four p.m. Sawyer heard a call over the police radio that the shots had come from the Depository Building.
LJ035-0184|He then entered the building and took the front passenger elevator as far as it would go -- the fourth floor.|He then entered the building and took the front passenger elevator as far as it would go -- the fourth floor.
LJ035-0185|After inspecting this floor, Sawyer returned to the street about 3 minutes after he entered the building.|After inspecting this floor, Sawyer returned to the street about three minutes after he entered the building.
LJ035-0186|After he returned to the street he directed Sergeant Harkness to station two patrolmen at the front door and not let anyone in or out;|After he returned to the street he directed Sergeant Harkness to station two patrolmen at the front door and not let anyone in or out;
LJ035-0187|he also directed that the back door be sealed off.|he also directed that the back door be sealed off.
LJ035-0188|This was no earlier than 12:37 p.m. and may have been later.|This was no earlier than twelve:thirty-seven p.m. and may have been later.
LJ035-0190|testified that after driving to Parkland Hospital, he returned to the Depository Building about 20 minutes after the shooting,|testified that after driving to Parkland Hospital, he returned to the Depository Building about twenty minutes after the shooting,
LJ035-0191|found no police officers at the rear door and was able to enter through this door without identifying himself.|found no police officers at the rear door and was able to enter through this door without identifying himself.
LJ035-0192|Although Oswald probably left the building at about 12:33 p.m., his absence was not noticed until at least one-half hour later.|Although Oswald probably left the building at about twelve:thirty-three p.m., his absence was not noticed until at least one-half hour later.
LJ035-0193|Truly, who had returned with Patrolman Baker from the roof, saw the police questioning the warehouse employees.|Truly, who had returned with Patrolman Baker from the roof, saw the police questioning the warehouse employees.
LJ035-0194|Approximately 15 men worked in the warehouse and Truly noticed that Oswald was not among those being questioned.|Approximately fifteen men worked in the warehouse and Truly noticed that Oswald was not among those being questioned.
LJ035-0195|Satisfying himself that Oswald was missing, Truly obtained Oswald's address, phone number, and description from his employment application card.|Satisfying himself that Oswald was missing, Truly obtained Oswald's address, phone number, and description from his employment application card.
LJ035-0196|The address listed was for the Paine home in Irving.|The address listed was for the Paine home in Irving.
LJ035-0197|Truly gave this information to Captain Fritz who was on the sixth floor at the time.|Truly gave this information to Captain Fritz who was on the sixth floor at the time.
LJ035-0198|Truly estimated that he gave this information to Fritz about 15 or 20 minutes after the shots,|Truly estimated that he gave this information to Fritz about fifteen or twenty minutes after the shots,
LJ035-0199|but it was probably no earlier than 1:22 p.m., the time when the rifle was found.|but it was probably no earlier than one:twenty-two p.m., the time when the rifle was found.
LJ035-0200|Fritz believed that he learned of Oswald's absence after the rifle was found.|Fritz believed that he learned of Oswald's absence after the rifle was found.
LJ035-0201|The fact that Truly found Fritz in the northwest corner of the floor, near the point where the rifle was found, supports Fritz' recollection.|The fact that Truly found Fritz in the northwest corner of the floor, near the point where the rifle was found, supports Fritz' recollection.
LJ035-0202|Fingerprint and palmprint evidence establishes that Oswald handled two of the four cartons next to the window|Fingerprint and palmprint evidence establishes that Oswald handled two of the four cartons next to the window
LJ035-0203|and also handled a paper bag which was found near the cartons.|and also handled a paper bag which was found near the cartons.
LJ035-0204|Oswald was seen in the vicinity of the southeast corner of the sixth floor approximately 35 minutes before the assassination|Oswald was seen in the vicinity of the southeast corner of the sixth floor approximately thirty-five minutes before the assassination
LJ035-0205|and no one could be found who saw Oswald anywhere else in the building until after the shooting.|and no one could be found who saw Oswald anywhere else in the building until after the shooting.
LJ035-0206|An eyewitness to the shooting immediately provided a description of the man in the window which was similar to Oswald's actual appearance.|An eyewitness to the shooting immediately provided a description of the man in the window which was similar to Oswald's actual appearance.
